Book,Author(s),AI Gen
The Revolt of Mamie Stover,William Bradford Huie,William Bradford Huie
The Girl with the Dragon Tattoo (Män som hatar kvinnor),Stieg Larsson,Stieg Larsson
The Lost Symbol,Dan Brown,Dan Brown
The Hunger Games,Suzanne Collins,Suzanne Collins
James and the Giant Peach,Roald Dahl,Roald Dahl
The Young Guard (Молодая гвардия),Alexander Alexandrovich Fadeyev,Alexander Fadeyev
Who Moved My Cheese?,Spencer Johnson,Spencer Johnson
A Brief History of Time,Stephen Hawking,Stephen Hawking
Paul et Virginie,Jacques-Henri Bernardin de Saint-Pierre,Jacques-Henri Bernardin de Saint-Pierre
Lust for Life,Irving Stone,Irving Stone
The Wind in the Willows,Kenneth Grahame,Kenneth Grahame
The 7 Habits of Highly Effective People,Stephen R. Covey,Stephen R. Covey
Virgin Soil Upturned (Поднятая целина),Mikhail Sholokhov,Mikhail Sholokhov
The Celestine Prophecy,James Redfield,James Redfield
The Fault in Our Stars,John Green,John Green
The Girl on the Train,Paula Hawkins,Paula Hawkins
The Shack,William P. Young,William P. Young
Uncle Styopa (Дядя Стёпа),Sergey Mikhalkov,Sergey Mikhalkov
The Godfather,Mario Puzo,Mario Puzo
Love Story,Erich Segal,Erich Segal
Catching Fire,Suzanne Collins,Suzanne Collins
Mockingjay,Suzanne Collins,Suzanne Collins
Kitchen (キッチン),Banana Yoshimoto,Banana Yoshimoto
Andromeda Nebula (Туманность Андромеды),Ivan Yefremov,Ivan Yefremov
Autobiography of a Yogi (योगी कथामृत),Paramahansa Yogananda,Paramahansa Yogananda
Gone Girl,Gillian Flynn,Gillian Flynn
All Quiet on the Western Front (Im Westen nichts Neues),Erich Maria Remarque,Erich Maria Remarque
The Bermuda Triangle,Charles Berlitz,Charles Berlitz
Things Fall Apart ,Chinua Achebe,Chinua Achebe
Animal Farm ,George Orwell,George Orwell
Wolf Totem (狼图腾),Jiang Rong,Jiang Rong
The Happy Hooker: My Own Story,Xaviera Hollander,Xaviera Hollander
Jaws,Peter Benchley,Peter Benchley
Love You Forever,Robert Munsch,Robert Munsch
The Women's Room,Marilyn French,Marilyn French
What to Expect When You're Expecting,Arlene Eisenberg and Heidi Murkoff,Heidi Murkoff
Adventures of Huckleberry Finn,Mark Twain,Mark Twain
"The Secret Diary of Adrian Mole, Aged 13¾",Sue Townsend,Sue Townsend
Pride and Prejudice,Jane Austen,Jane Austen
Kon-Tiki: Across the Pacific in a Raft (Kon-Tiki ekspedisjonen),Thor Heyerdahl,Thor Heyerdahl
The Good Soldier Švejk (Osudy dobrého vojáka Švejka za světové války),Jaroslav Hašek,Jaroslav Hašek
